Establishment.ID,Name,Address.1,Address.2,City,Zip,Inspection.Date,Inspection.Results,Food.from.Approved.Source..C.,Food.Protected.from.Contamination..C.,Ill.Workers.Restricted..C.,Proper.Hand.Washing..C.,Cooling.Time.and.Temperature..C.,Cold.Holding.Temperature..C.,Hot.Holding.Temperature..C.,Cooking.Time.and.Temperature..C.,Reheating.Time.and.Temperature..C.,Hot.and.Cold.Running.Water.Provided..C.,Proper.Sewage.Disposal..C.,Toxic.Substances...Pesticides,Rodent.and.Insects,Nutritional.Labeling,Trans.Fat.Ban,No.Smoking.Sign.Posted,Inspection.Type,Owner,Category,Type,Latitude,Longitude,Location
38354,BOYDS COUNTRY STORE,15110 BARNESVILLE RD.,,Boyds,20841,2024-07-15,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,P & V GROUP LLC,Market,Food,39.1846,-77.3144,POINT (-77.3144 39.1846)
38458,CREPE LENA ICE CREAM,11160 VEIRS MILL RD,#9244,Silver Spring,20902,2024-06-21,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Re-inspection Billable,YASSIR ABDALLA,Market,Food,39.037,-77.0539,POINT (-77.0539 39.037)
38458,CREPE LENA ICE CREAM,11160 VEIRS MILL RD,#9244,Silver Spring,20902,2024-06-14,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Re-inspection Billable,YASSIR ABDALLA,Market,Food,39.037,-77.0539,POINT (-77.0539 39.037)
38458,CREPE LENA ICE CREAM,11160 VEIRS MILL RD,#9244,Silver Spring,20902,2024-06-11,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,YASSIR ABDALLA,Market,Food,39.037,-77.0539,POINT (-77.0539 39.037)
28855,LA BOHEMIA BAKERY,5540 WILKINS CT,,Rockville,20852,2024-06-04,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,AISHOK CO,Restaurant,Food,39.0578,-77.1123,POINT (-77.1123 39.0578)
24291,RED MAPLE RESTAURANT & BAR,10110 COLESVILLE RD,,Silver Spring,20901,2024-05-22,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,RED MAPLE ASSOCIATES LLC,Restaurant,Food,39.0208,-77.0127,POINT (-77.0127 39.0208)
55144,ASI ES MI TIERRA,2559 ENNALLS AVE.,,Silver Spring,20902,2024-05-21,Facility Closed,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,AEMT LLC,Restaurant,Food,39.0398,-77.0542,POINT (-77.0542 39.0398)
53896,POPEYE'S FRIED CHICKEN,18074 MATENY RD,,Germantown,20874,2024-04-01,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,AMISH PARIKH/ MATENY RD CHICKEN LLC,Restaurant,Food,39.1475,-77.2727,POINT (-77.2727 39.1475)
39861,CHINA EAST,14050 TRAVILAH RD,,Rockville,20850,2024-03-29,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,GOLDEN MAY INC,Restaurant,Food,39.0852,-77.2251,POINT (-77.2251 39.0852)
30275,CADDIES ON CORDELL,4922 CORDELL AVE,,Bethesda,20814,2024-03-20,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,HOLE IN ONE MD LLC,Restaurant,Food,38.9886,-77.0984,POINT (-77.0984 38.9886)
52622,XIAN GOURMET,316 N WASHINGTON ST,,Rockville,20850,2024-03-07,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Environmental,HEHE LLC,Restaurant,Food,39.09,-77.1541,POINT (-77.1541 39.09)
